Tue Aug  1 23:17:21 2017 us=537294 Current Parameter Settings:
Tue Aug  1 23:17:21 2017 us=538155   groupname = 'nobody'
Tue Aug  1 23:17:21 2017 us=538163   chroot_dir = '[UNDEF]'
Tue Aug  1 23:17:21 2017 us=538171   cd_dir = '/etc/openvpn'
Tue Aug  1 23:17:21 2017 us=538180   selinux_context = '[UNDEF]'
Tue Aug  1 23:17:21 2017 us=538189   writepid = '/var/run/openvpn/server.pid'
Tue Aug  1 23:17:21 2017 us=538197   up_script = '[UNDEF]'
Tue Aug  1 23:17:21 2017 us=538206   down_script = '[UNDEF]'
Tue Aug  1 23:17:21 2017 us=538214   down_pre = DISABLED
Tue Aug  1 23:17:21 2017 us=538222   up_restart = DISABLED
Tue Aug  1 23:17:21 2017 us=538231   up_delay = DISABLED
Tue Aug  1 23:17:21 2017 us=538239   daemon = ENABLED
Tue Aug  1 23:17:21 2017 us=538248   inetd = 0
Tue Aug  1 23:17:21 2017 us=538256   log = ENABLED
Tue Aug  1 23:17:21 2017 us=538265   suppress_timestamps = DISABLED
Tue Aug  1 23:17:21 2017 us=538273   machine_readable_output = DISABLED
Tue Aug  1 23:17:21 2017 us=538281   nice = 0
Tue Aug  1 23:17:21 2017 us=538290   verbosity = 5
Tue Aug  1 23:17:21 2017 us=538298   mute = 0
Tue Aug  1 23:17:21 2017 us=538306   gremlin = 0
Tue Aug  1 23:17:21 2017 us=538315   status_file = 'openvpn-status.log'
Tue Aug  1 23:17:21 2017 us=538323   status_file_version = 1
Tue Aug  1 23:17:21 2017 us=538331   status_file_update_freq = 60
Tue Aug  1 23:17:21 2017 us=538340   occ = ENABLED
Tue Aug  1 23:17:21 2017 us=538348   rcvbuf = 0
Tue Aug  1 23:17:21 2017 us=538356   sndbuf = 0
Tue Aug  1 23:17:21 2017 us=538365   mark = 0
Tue Aug  1 23:17:21 2017 us=538373   sockflags = 0
Tue Aug  1 23:17:21 2017 us=538381   fast_io = DISABLED
Tue Aug  1 23:17:21 2017 us=538390   comp.alg = 2
Tue Aug  1 23:17:21 2017 us=538398   comp.flags = 1
Tue Aug  1 23:17:21 2017 us=538407   route_script = '[UNDEF]'
Tue Aug  1 23:17:21 2017 us=538415   route_default_gateway = '[UNDEF]'
Tue Aug  1 23:17:21 2017 us=538424   route_default_metric = 0
Tue Aug  1 23:17:21 2017 us=538432   route_noexec = DISABLED
Tue Aug  1 23:17:21 2017 us=538441   route_delay = 0
Tue Aug  1 23:17:21 2017 us=538462   route_delay_window = 30
Tue Aug  1 23:17:21 2017 us=538476   route_delay_defined = DISABLED
Tue Aug  1 23:17:21 2017 us=538488   route_nopull = DISABLED
Tue Aug  1 23:17:21 2017 us=538500   route_gateway_via_dhcp = DISABLED
Tue Aug  1 23:17:21 2017 us=538512   allow_pull_fqdn = DISABLED
Tue Aug  1 23:17:21 2017 us=538526   route 10.8.0.0/255.255.255.0/default (not set)/default (not set)
Tue Aug  1 23:17:21 2017 us=538538   route 10.10.1.0/255.255.255.0/default (not set)/default (not set)
Tue Aug  1 23:17:21 2017 us=538551   management_addr = '[UNDEF]'
Tue Aug  1 23:17:21 2017 us=538563   management_port = '[UNDEF]'
Tue Aug  1 23:17:21 2017 us=538575   management_user_pass = '[UNDEF]'
Tue Aug  1 23:17:21 2017 us=538587   management_log_history_cache = 250
Tue Aug  1 23:17:21 2017 us=538599   management_echo_buffer_size = 100
Tue Aug  1 23:17:21 2017 us=538611   management_write_peer_info_file = '[UNDEF]'
Tue Aug  1 23:17:21 2017 us=538623   management_client_user = '[UNDEF]'
Tue Aug  1 23:17:21 2017 us=538635   management_client_group = '[UNDEF]'
Tue Aug  1 23:17:21 2017 us=538647   management_flags = 0
Tue Aug  1 23:17:21 2017 us=538659   shared_secret_file = '[UNDEF]'
Tue Aug  1 23:17:21 2017 us=538671   key_direction = 1
Tue Aug  1 23:17:21 2017 us=538683   ciphername = 'AES-256-CBC'
Tue Aug  1 23:17:21 2017 us=538695   ncp_enabled = ENABLED
Tue Aug  1 23:17:21 2017 us=538707   ncp_ciphers = 'AES-256-GCM:AES-128-GCM'
Tue Aug  1 23:17:21 2017 us=538719   authname = 'SHA1'
Tue Aug  1 23:17:21 2017 us=538730   prng_hash = 'SHA1'
Tue Aug  1 23:17:21 2017 us=538743   prng_nonce_secret_len = 16
Tue Aug  1 23:17:21 2017 us=538754   keysize = 0
Tue Aug  1 23:17:21 2017 us=538766   engine = DISABLED
Tue Aug  1 23:17:21 2017 us=538778   replay = ENABLED
Tue Aug  1 23:17:21 2017 us=538790   mute_replay_warnings = DISABLED
Tue Aug  1 23:17:21 2017 us=538802   replay_window = 64
Tue Aug  1 23:17:21 2017 us=538814   replay_time = 15
Tue Aug  1 23:17:21 2017 us=538842   packet_id_file = '[UNDEF]'
Tue Aug  1 23:17:21 2017 us=538858   use_iv = ENABLED
Tue Aug  1 23:17:21 2017 us=538873   test_crypto = DISABLED
Tue Aug  1 23:17:21 2017 us=538887   tls_server = ENABLED
Tue Aug  1 23:17:21 2017 us=538901   tls_client = DISABLED
Tue Aug  1 23:17:21 2017 us=538915   key_method = 2
Tue Aug  1 23:17:21 2017 us=538929   ca_file = 'keys/ca.crt'
Tue Aug  1 23:17:21 2017 us=538944   ca_path = '[UNDEF]'
Tue Aug  1 23:17:21 2017 us=538958   dh_file = 'keys/dh2048.pem'
Tue Aug  1 23:17:21 2017 us=538973   cert_file = 'keys/server.crt'
Tue Aug  1 23:17:21 2017 us=538987   extra_certs_file = '[UNDEF]'
Tue Aug  1 23:17:21 2017 us=539001   priv_key_file = 'keys/server.key'
Tue Aug  1 23:17:21 2017 us=539015   pkcs12_file = '[UNDEF]'
Tue Aug  1 23:17:21 2017 us=539030   cipher_list = '[UNDEF]'
Tue Aug  1 23:17:21 2017 us=539043   tls_verify = '[UNDEF]'
Tue Aug  1 23:17:21 2017 us=539058   tls_export_cert = '[UNDEF]'
Tue Aug  1 23:17:21 2017 us=539074   verify_x509_type = 0
Tue Aug  1 23:17:21 2017 us=539125   verify_x509_name = '[UNDEF]'
Tue Aug  1 23:17:21 2017 us=539139   crl_file = '[UNDEF]'
Tue Aug  1 23:17:21 2017 us=539148   ns_cert_type = 0
Tue Aug  1 23:17:21 2017 us=539156   remote_cert_ku[i] = 0
Tue Aug  1 23:17:21 2017 us=539164   remote_cert_ku[i] = 0
Tue Aug  1 23:17:21 2017 us=539173   remote_cert_ku[i] = 0
Tue Aug  1 23:17:21 2017 us=539181   remote_cert_ku[i] = 0
Tue Aug  1 23:17:21 2017 us=539189   remote_cert_ku[i] = 0
Tue Aug  1 23:17:21 2017 us=539198   remote_cert_ku[i] = 0
Tue Aug  1 23:17:21 2017 us=539206   remote_cert_ku[i] = 0
Tue Aug  1 23:17:21 2017 us=539214   remote_cert_ku[i] = 0
Tue Aug  1 23:17:21 2017 us=539222   remote_cert_ku[i] = 0
Tue Aug  1 23:17:21 2017 us=539231   remote_cert_ku[i] = 0
Tue Aug  1 23:17:21 2017 us=539239   remote_cert_ku[i] = 0
Tue Aug  1 23:17:21 2017 us=539247   remote_cert_ku[i] = 0
Tue Aug  1 23:17:21 2017 us=539255   remote_cert_ku[i] = 0
Tue Aug  1 23:17:21 2017 us=539263   remote_cert_ku[i] = 0
Tue Aug  1 23:17:21 2017 us=539271   remote_cert_ku[i] = 0
Tue Aug  1 23:17:21 2017 us=539280   remote_cert_ku[i] = 0
Tue Aug  1 23:17:21 2017 us=539288   remote_cert_eku = '[UNDEF]'
Tue Aug  1 23:17:21 2017 us=539296   ssl_flags = 0
Tue Aug  1 23:17:21 2017 us=539305   tls_timeout = 2
Tue Aug  1 23:17:21 2017 us=539313   renegotiate_bytes = -1
Tue Aug  1 23:17:21 2017 us=539322   renegotiate_packets = 0
Tue Aug  1 23:17:21 2017 us=539330   renegotiate_seconds = 3600
Tue Aug  1 23:17:21 2017 us=539338   handshake_window = 60
Tue Aug  1 23:17:21 2017 us=539347   transition_window = 3600
Tue Aug  1 23:17:21 2017 us=539355   single_session = DISABLED
Tue Aug  1 23:17:21 2017 us=539364   push_peer_info = DISABLED
Tue Aug  1 23:17:21 2017 us=539372   tls_exit = DISABLED
Tue Aug  1 23:17:21 2017 us=539381   tls_auth_file = 'keys/ta.key'
Tue Aug  1 23:17:21 2017 us=539389   tls_crypt_file = '[UNDEF]'
Tue Aug  1 23:17:21 2017 us=539398   pkcs11_protected_authentication = DISABLED
Tue Aug  1 23:17:21 2017 us=539407   pkcs11_protected_authentication = DISABLED
Tue Aug  1 23:17:21 2017 us=539415   pkcs11_protected_authentication = DISABLED
Tue Aug  1 23:17:21 2017 us=539428   pkcs11_protected_authentication = DISABLED
Tue Aug  1 23:17:21 2017 us=539455   pkcs11_protected_authentication = DISABLED
Tue Aug  1 23:17:21 2017 us=539476   pkcs11_protected_authentication = DISABLED
Tue Aug  1 23:17:21 2017 us=539495   pkcs11_protected_authentication = DISABLED
Tue Aug  1 23:17:21 2017 us=539512   pkcs11_protected_authentication = DISABLED
Tue Aug  1 23:17:21 2017 us=539529   pkcs11_protected_authentication = DISABLED
Tue Aug  1 23:17:21 2017 us=539545   pkcs11_protected_authentication = DISABLED
Tue Aug  1 23:17:21 2017 us=539561   pkcs11_protected_authentication = DISABLED
Tue Aug  1 23:17:21 2017 us=539571   pkcs11_protected_authentication = DISABLED
Tue Aug  1 23:17:21 2017 us=539579   pkcs11_protected_authentication = DISABLED
Tue Aug  1 23:17:21 2017 us=539588   pkcs11_protected_authentication = DISABLED
Tue Aug  1 23:17:21 2017 us=539596   pkcs11_protected_authentication = DISABLED
Tue Aug  1 23:17:21 2017 us=539615   pkcs11_protected_authentication = DISABLED
Tue Aug  1 23:17:21 2017 us=539625   pkcs11_private_mode = 00000000
Tue Aug  1 23:17:21 2017 us=539634   pkcs11_private_mode = 00000000
Tue Aug  1 23:17:21 2017 us=539642   pkcs11_private_mode = 00000000
Tue Aug  1 23:17:21 2017 us=539650   pkcs11_private_mode = 00000000
Tue Aug  1 23:17:21 2017 us=539658   pkcs11_private_mode = 00000000
Tue Aug  1 23:17:21 2017 us=539667   pkcs11_private_mode = 00000000
Tue Aug  1 23:17:21 2017 us=539675   pkcs11_private_mode = 00000000
Tue Aug  1 23:17:21 2017 us=539683   pkcs11_private_mode = 00000000
Tue Aug  1 23:17:21 2017 us=539691   pkcs11_private_mode = 00000000
Tue Aug  1 23:17:21 2017 us=539700   pkcs11_private_mode = 00000000
Tue Aug  1 23:17:21 2017 us=539708   pkcs11_private_mode = 00000000
Tue Aug  1 23:17:21 2017 us=539723   pkcs11_private_mode = 00000000
Tue Aug  1 23:17:21 2017 us=539743   pkcs11_private_mode = 00000000
Tue Aug  1 23:17:21 2017 us=539758   pkcs11_private_mode = 00000000
Tue Aug  1 23:17:21 2017 us=539775   pkcs11_private_mode = 00000000
Tue Aug  1 23:17:21 2017 us=539788   pkcs11_private_mode = 00000000
Tue Aug  1 23:17:21 2017 us=539797   pkcs11_cert_private = DISABLED
Tue Aug  1 23:17:21 2017 us=539805   pkcs11_cert_private = DISABLED
Tue Aug  1 23:17:21 2017 us=539813   pkcs11_cert_private = DISABLED
Tue Aug  1 23:17:21 2017 us=539822   pkcs11_cert_private = DISABLED
Tue Aug  1 23:17:21 2017 us=539830   pkcs11_cert_private = DISABLED
Tue Aug  1 23:17:21 2017 us=539838   pkcs11_cert_private = DISABLED
Tue Aug  1 23:17:21 2017 us=539847   pkcs11_cert_private = DISABLED
Tue Aug  1 23:17:21 2017 us=539855   pkcs11_cert_private = DISABLED
Tue Aug  1 23:17:21 2017 us=539863   pkcs11_cert_private = DISABLED
Tue Aug  1 23:17:21 2017 us=539871   pkcs11_cert_private = DISABLED
Tue Aug  1 23:17:21 2017 us=539880   pkcs11_cert_private = DISABLED
Tue Aug  1 23:17:21 2017 us=539888   pkcs11_cert_private = DISABLED
Tue Aug  1 23:17:21 2017 us=539896   pkcs11_cert_private = DISABLED
Tue Aug  1 23:17:21 2017 us=539905   pkcs11_cert_private = DISABLED
Tue Aug  1 23:17:21 2017 us=539913   pkcs11_cert_private = DISABLED
Tue Aug  1 23:17:21 2017 us=539921   pkcs11_cert_private = DISABLED
Tue Aug  1 23:17:21 2017 us=539930   pkcs11_pin_cache_period = -1
Tue Aug  1 23:17:21 2017 us=539938   pkcs11_id = '[UNDEF]'
Tue Aug  1 23:17:21 2017 us=539947   pkcs11_id_management = DISABLED
Tue Aug  1 23:17:21 2017 us=539957   server_network = 10.8.0.0
Tue Aug  1 23:17:21 2017 us=539966   server_netmask = 255.255.255.0
Tue Aug  1 23:17:21 2017 us=539982   server_network_ipv6 = ::
Tue Aug  1 23:17:21 2017 us=539992   server_netbits_ipv6 = 0
Tue Aug  1 23:17:21 2017 us=540001   server_bridge_ip = 0.0.0.0
Tue Aug  1 23:17:21 2017 us=540010   server_bridge_netmask = 0.0.0.0
Tue Aug  1 23:17:21 2017 us=540019   server_bridge_pool_start = 0.0.0.0
Tue Aug  1 23:17:21 2017 us=540028   server_bridge_pool_end = 0.0.0.0
Tue Aug  1 23:17:21 2017 us=540037   push_entry = 'route 10.0.0.0 255.0.0.0'
Tue Aug  1 23:17:21 2017 us=540046   push_entry = 'redirect-gateway'
Tue Aug  1 23:17:21 2017 us=540054   push_entry = 'dhcp-option DNS 114.114.114.114'
Tue Aug  1 23:17:21 2017 us=540063   push_entry = 'dhcp-option DNS 8.8.4.4'
Tue Aug  1 23:17:21 2017 us=540071   push_entry = 'route 10.8.0.0 255.255.255.0'
Tue Aug  1 23:17:21 2017 us=540080   push_entry = 'topology net30'
Tue Aug  1 23:17:21 2017 us=540109   push_entry = 'ping 10'
Tue Aug  1 23:17:21 2017 us=540120   push_entry = 'ping-restart 120'
Tue Aug  1 23:17:21 2017 us=540128   ifconfig_pool_defined = ENABLED
Tue Aug  1 23:17:21 2017 us=540142   ifconfig_pool_start = 10.8.0.4
Tue Aug  1 23:17:21 2017 us=540152   ifconfig_pool_end = 10.8.0.251
Tue Aug  1 23:17:21 2017 us=540162   ifconfig_pool_netmask = 0.0.0.0
Tue Aug  1 23:17:21 2017 us=540170   ifconfig_pool_persist_filename = 'ipp.txt'
Tue Aug  1 23:17:21 2017 us=540179   ifconfig_pool_persist_refresh_freq = 600
Tue Aug  1 23:17:21 2017 us=540187   ifconfig_ipv6_pool_defined = DISABLED
Tue Aug  1 23:17:21 2017 us=540201   ifconfig_ipv6_pool_base = ::
Tue Aug  1 23:17:21 2017 us=540211   ifconfig_ipv6_pool_netbits = 0
Tue Aug  1 23:17:21 2017 us=540219   n_bcast_buf = 256
Tue Aug  1 23:17:21 2017 us=540228   tcp_queue_limit = 64
Tue Aug  1 23:17:21 2017 us=540236   real_hash_size = 256
Tue Aug  1 23:17:21 2017 us=540244   virtual_hash_size = 256
Tue Aug  1 23:17:21 2017 us=540253   client_connect_script = '[UNDEF]'
Tue Aug  1 23:17:21 2017 us=540261   learn_address_script = '[UNDEF]'
Tue Aug  1 23:17:21 2017 us=540270   client_disconnect_script = '[UNDEF]'
Tue Aug  1 23:17:21 2017 us=540278   client_config_dir = 'ccd'
Tue Aug  1 23:17:21 2017 us=540287   ccd_exclusive = DISABLED
Tue Aug  1 23:17:21 2017 us=540295   tmp_dir = '/tmp'
Tue Aug  1 23:17:21 2017 us=540304   push_ifconfig_defined = DISABLED
Tue Aug  1 23:17:21 2017 us=540313   push_ifconfig_local = 0.0.0.0
Tue Aug  1 23:17:21 2017 us=540322   push_ifconfig_remote_netmask = 0.0.0.0
Tue Aug  1 23:17:21 2017 us=540330   push_ifconfig_ipv6_defined = DISABLED
Tue Aug  1 23:17:21 2017 us=540339   push_ifconfig_ipv6_local = ::/0
Tue Aug  1 23:17:21 2017 us=540348   push_ifconfig_ipv6_remote = ::
Tue Aug  1 23:17:21 2017 us=540357   enable_c2c = ENABLED
Tue Aug  1 23:17:21 2017 us=540365   duplicate_cn = ENABLED
Tue Aug  1 23:17:21 2017 us=540374   cf_max = 0
Tue Aug  1 23:17:21 2017 us=540382   cf_per = 0
Tue Aug  1 23:17:21 2017 us=540390   max_clients = 10
Tue Aug  1 23:17:21 2017 us=540399   max_routes_per_client = 256
Tue Aug  1 23:17:21 2017 us=540407   auth_user_pass_verify_script = '[UNDEF]'
Tue Aug  1 23:17:21 2017 us=540416   auth_user_pass_verify_script_via_file = DISABLED
Tue Aug  1 23:17:21 2017 us=540424   auth_token_generate = DISABLED
Tue Aug  1 23:17:21 2017 us=540433   auth_token_lifetime = 0
Tue Aug  1 23:17:21 2017 us=540441   port_share_host = '[UNDEF]'
Tue Aug  1 23:17:21 2017 us=540461   port_share_port = '[UNDEF]'
Tue Aug  1 23:17:21 2017 us=540470   client = DISABLED
Tue Aug  1 23:17:21 2017 us=540479   pull = DISABLED
Tue Aug  1 23:17:21 2017 us=540488   auth_user_pass_file = '[UNDEF]'
Tue Aug  1 23:17:21 2017 us=540508 OpenVPN 2.4.3 x86_64-redhat-linux-gnu [Fedora EPEL patched] [SSL (OpenSSL)] [LZO] [LZ4] [EPOLL] [PKCS11] [MH/PKTINFO] [AEAD] built on Jun 21 2017
Tue Aug  1 23:17:21 2017 us=540527 library versions: OpenSSL 1.0.1e-fips 11 Feb 2013, LZO 2.03
Tue Aug  1 23:17:21 2017 us=544479 WARNING: using --duplicate-cn and --client-config-dir together is probably not what you want
Tue Aug  1 23:17:21 2017 us=544519 WARNING: --ifconfig-pool-persist will not work with --duplicate-cn
Tue Aug  1 23:17:21 2017 us=555575 Diffie-Hellman initialized with 2048 bit key
Tue Aug  1 23:17:21 2017 us=556465 Failed to extract curve from certificate (UNDEF), using secp384r1 instead.
Tue Aug  1 23:17:21 2017 us=556495 ECDH curve secp384r1 added
Tue Aug  1 23:17:21 2017 us=556735 Outgoing Control Channel Authentication: Using 160 bit message hash 'SHA1' for HMAC authentication
Tue Aug  1 23:17:21 2017 us=556755 Incoming Control Channel Authentication: Using 160 bit message hash 'SHA1' for HMAC authentication
Tue Aug  1 23:17:21 2017 us=556780 TLS-Auth MTU parms [ L:1624 D:1182 EF:68 EB:0 ET:0 EL:3 ]
Tue Aug  1 23:17:21 2017 us=556971 ROUTE_GATEWAY 45.62.96.1/255.255.240.0 IFACE=eth0 HWADDR=aa:aa:00:08:d6:fa
Tue Aug  1 23:17:21 2017 us=558315 TUN/TAP device tun0 opened
Tue Aug  1 23:17:21 2017 us=558347 TUN/TAP TX queue length set to 100
Tue Aug  1 23:17:21 2017 us=558369 do_ifconfig, tt->did_ifconfig_ipv6_setup=0
Tue Aug  1 23:17:21 2017 us=558387 /sbin/ip link set dev tun0 up mtu 1500
Tue Aug  1 23:17:21 2017 us=561288 /sbin/ip addr add dev tun0 local 10.8.0.1 peer 10.8.0.2
Tue Aug  1 23:17:21 2017 us=564249 /sbin/ip route add 10.10.1.0/24 via 10.8.0.2
Tue Aug  1 23:17:21 2017 us=573407 /sbin/ip route add 10.8.0.0/24 via 10.8.0.2
Tue Aug  1 23:17:21 2017 us=575272 Data Channel MTU parms [ L:1624 D:1450 EF:124 EB:406 ET:0 EL:3 ]
Tue Aug  1 23:17:21 2017 us=575688 Could not determine IPv4/IPv6 protocol. Using AF_INET
Tue Aug  1 23:17:21 2017 us=575733 Socket Buffers: R=[87380->87380] S=[16384->16384]
Tue Aug  1 23:17:21 2017 us=575774 Listening for incoming TCP connection on [AF_INET]45.62.97.54:1194
Tue Aug  1 23:17:21 2017 us=575802 TCPv4_SERVER link local (bound): [AF_INET]45.62.97.54:1194
Tue Aug  1 23:17:21 2017 us=575814 TCPv4_SERVER link remote: [AF_UNSPEC]
Tue Aug  1 23:17:21 2017 us=575834 GID set to nobody
Tue Aug  1 23:17:21 2017 us=575854 UID set to nobody
Tue Aug  1 23:17:21 2017 us=575873 MULTI: multi_init called, r=256 v=256
Tue Aug  1 23:17:21 2017 us=575919 IFCONFIG POOL: base=10.8.0.4 size=62, ipv6=0
Tue Aug  1 23:17:21 2017 us=575935 IFCONFIG POOL LIST
Tue Aug  1 23:17:21 2017 us=575956 MULTI: TCP INIT maxclients=10 maxevents=14
Tue Aug  1 23:17:21 2017 us=575996 Initialization Sequence Completed
Tue Aug  1 23:17:24 2017 us=870157 MULTI: multi_create_instance called
Tue Aug  1 23:17:24 2017 us=870227 Re-using SSL/TLS context
Tue Aug  1 23:17:24 2017 us=870254 LZO compression initializing
Tue Aug  1 23:17:24 2017 us=870643 Control Channel MTU parms [ L:1624 D:1182 EF:68 EB:0 ET:0 EL:3 ]
Tue Aug  1 23:17:24 2017 us=870676 Data Channel MTU parms [ L:1624 D:1450 EF:124 EB:406 ET:0 EL:3 ]
Tue Aug  1 23:17:24 2017 us=870724 Local Options String (VER=V4): 'V4,dev-type tun,link-mtu 1560,tun-mtu 1500,proto TCPv4_SERVER,comp-lzo,keydir 0,cipher AES-256-CBC,auth SHA1,keysize 256,tls-auth,key-method 2,tls-server'
Tue Aug  1 23:17:24 2017 us=870737 Expected Remote Options String (VER=V4): 'V4,dev-type tun,link-mtu 1560,tun-mtu 1500,proto TCPv4_CLIENT,comp-lzo,keydir 1,cipher AES-256-CBC,auth SHA1,keysize 256,tls-auth,key-method 2,tls-client'
Tue Aug  1 23:17:24 2017 us=870782 TCP connection established with [AF_INET]124.127.118.179:60394
Tue Aug  1 23:17:24 2017 us=870795 TCP_SERVER link local: (not bound)
Tue Aug  1 23:17:24 2017 us=870805 TCP_SERVER link remote: [AF_INET]124.127.118.179:60394
RTue Aug  1 23:17:25 2017 us=410523 124.127.118.179:60394 TLS: Initial packet from [AF_INET]124.127.118.179:60394, sid=96e1c8f3 7e7573b6
WRRWRWRWRWRWRWWWRRRWRWRWRWRWRWTue Aug  1 23:17:27 2017 us=164727 124.127.118.179:60394 Connection reset, restarting [-1]
Tue Aug  1 23:17:27 2017 us=164805 124.127.118.179:60394 SIGUSR1[soft,connection-reset] received, client-instance restarting
Tue Aug  1 23:17:27 2017 us=164974 TCP/UDP: Closing socket
Tue Aug  1 23:17:31 2017 us=650504 MULTI: multi_create_instance called
Tue Aug  1 23:17:31 2017 us=650612 Re-using SSL/TLS context
Tue Aug  1 23:17:31 2017 us=650639 LZO compression initializing
Tue Aug  1 23:17:31 2017 us=650786 Control Channel MTU parms [ L:1624 D:1182 EF:68 EB:0 ET:0 EL:3 ]
Tue Aug  1 23:17:31 2017 us=650811 Data Channel MTU parms [ L:1624 D:1450 EF:124 EB:406 ET:0 EL:3 ]
Tue Aug  1 23:17:31 2017 us=650847 Local Options String (VER=V4): 'V4,dev-type tun,link-mtu 1560,tun-mtu 1500,proto TCPv4_SERVER,comp-lzo,keydir 0,cipher AES-256-CBC,auth SHA1,keysize 256,tls-auth,key-method 2,tls-server'
